UpazName,UpazGeoCod,EmplydMale,EmplydFeml,7PlsNASBoth,7PlsNASMale,7PlsNASFeml,LokWrkMale,LokWrkFeml,HHWorkMale,HHWrkMaFem,DntWrkMale,DntWrkFeml
Daulatpur,30560010,24519,959,69088,28976,40112,154,53,611,34423,3692,4677
Ghior,30560022,16078,709,44011,18620,25391,77,32,457,21568,2008,3082
Harirampur,30560028,16943,842,46030,20014,26016,76,50,357,21600,2638,3524
Manikganj Sadar,30560046,30521,2393,85229,36129,49100,144,46,380,39741,5084,6920
Saturia,30560070,22876,1253,60761,25695,35066,129,59,237,30028,2453,3726
Shibalay,30560078,20673,1022,55127,24023,31104,125,33,289,26055,2936,3994
Singair,30560082,35898,1327,95910,42826,53084,277,68,631,44204,6020,7485
Gazaria,30590024,12932,1021,34383,15512,18871,138,41,167,14364,2275,3445
Louhajang,30590044,15285,1297,39914,19213,20701,86,30,162,15460,3680,3914
Munshiganj Sadar,30590056,36538,3783,93500,44172,49328,304,134,581,37010,6749,8401
Sirajdikhan,30590074,28917,4409,73424,35287,38137,252,76,446,26459,5672,7193
Sreenagar,30590084,21831,1581,59298,27662,31636,213,61,517,24321,5101,5673
Tongibari,30590094,18253,1972,46128,21967,24161,134,42,305,17585,3275,4562
Araihazar,30670002,44425,4330,118191,55124,63067,239,144,533,47157,9927,11436
Sonargaon,30670004,38237,5131,99793,46748,53045,299,130,463,37462,7749,10322
Bandar,30670006,17857,4462,49328,22101,27226,225,67,200,17565,3819,5133
Narayanganj Sadar,30670058,66471,28812,171880,80998,90882,404,265,647,45213,13476,16591
Rupganj,30670068,48414,12762,125886,59606,66280,404,145,584,40922,10204,12451
Bandar,30674406,5937,1483,16401,7349,9053,75,22,67,5840,1270,1707
Narayanganj Sadar,30674458,32754,14198,84696,39913,44783,199,130,319,22280,6641,8176
Belabo,30680007,20064,1052,53657,24318,29339,103,53,253,23481,3898,4753
Manohardi,30680052,29275,2182,78768,36162,42606,267,118,671,33400,5949,6906
Narsingdi Sadar,30680060,74879,9483,197242,95919,101323,594,244,754,71317,19692,20279
Palash,30680063,15856,2012,42756,19957,22799,99,44,173,16358,3829,4385
Raipura,30680064,60801,3128,173341,78973,94368,723,163,1169,74678,16280,16399
Shibpur,30680076,25047,2100,67190,30944,36246,275,93,468,27675,5154,6378
Baliakandi,30820007,25630,695,62260,29002,33258,78,42,401,27920,2893,4601
Goalanda,30820029,15890,2056,43152,19284,23868,132,58,135,18086,3127,3668
Kalukhali,30820047,23270,767,54749,25961,28788,72,41,141,24348,2478,3632
Pangsha,30820073,38777,959,91660,43910,47750,155,74,294,40725,4684,5992
Rajbari Sadar,30820076,34849,1869,92754,41225,51529,159,70,392,41138,5825,8452
